tract,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""51001090101""","""""",2.00,1776.00,939.00,2937.98,62,77,46,35,44,25,27,33,22,7.83,4.33,1.78,2,2,19795,19673,21085,0,0,0,12537,12145,14031,10126,9749,11464,2411,2396,2567,0,0,0,2,2,2,,,,0.32,2160,60,1992,81,33,,,1345,1460,984,88,12
"""51001090102""","""""",2.00,1109.00,719.00,1643.98,67,83,50,42,53,30,25,30,20,5.66,3.43,1.65,2,2,16650,16548,17986,0,0,0,11393,10971,12935,9365,8956,10745,2028,2015,2190,0,0,0,2,2,2,,,,0.44,2225,67,1916,81,19,,,1634,1972,767,91,9
"""51001090201""","""""",2.00,2652.00,1133.00,16741.53,58,71,44,29,37,21,28,34,23,8.81,0.65,1.87,2,2,20634,20508,21812,0,0,0,13154,12731,14739,10641,10233,12083,2513,2498,2656,0,0,0,2,2,2,,,,0.07,2041,71,2197,81,110,,,1133,1101,1174,88,12
"""51001090202""","""""",3.00,2903.00,1256.00,29665.59,41,50,31,14,17,10,27,33,21,6.89,0.31,1.76,2,2,20060,19937,20740,0,0,0,12450,12056,13819,10007,9628,11293,2443,2428,2525,0,0,0,1,1,2,,,,0.04,1983,50,2459,82,191,,,533,797,206,51,49
"""51001090300""","""""",3.00,2312.00,962.00,31733.10,54,66,41,24,31,17,29,35,23,8.94,0.28,1.93,2,2,21181,21052,22167,0,0,0,13546,13108,15147,10966,10544,12448,2580,2564,2699,0,0,0,2,2,2,,,,0.03,1795,80,1678,82,173,,,941,987,811,79,21
"""51001090401""","""""",2.00,3162.00,1095.00,20817.30,54,66,40,25,31,18,29,35,23,9.70,0.51,1.89,2,2,22036,21901,22871,0,0,0,13410,13028,14828,10726,10361,12043,2684,2667,2785,0,0,0,2,1,2,,,,0.05,1959,60,1627,82,157,,,949,1202,661,64,36
"""51001090402""","""""",2.00,3886.00,1258.00,27050.36,55,68,42,28,35,20,28,34,22,8.73,0.42,1.84,2,2,19730,19609,20598,0,0,0,12819,12394,14340,10416,10006,11832,2403,2388,2508,0,0,0,1,1,1,,,,0.05,1931,73,2453,82,161,,,1067,1306,800,66,34
"""51001090500""","""""",3.00,2187.00,966.00,16297.47,53,65,40,24,30,17,29,35,23,8.98,0.91,1.91,2,2,21552,21421,22480,0,0,0,13492,13080,15019,10867,10471,12282,2625,2609,2737,0,0,0,1,1,1,,,,0.06,1835,86,2349,82,82,,,920,1028,675,70,30
"""51001090600""","""""",4.00,3569.00,1909.00,31560.02,59,73,45,32,40,23,27,33,22,7.33,1.86,1.84,2,2,18573,18460,19655,0,0,0,12693,12245,14315,10430,9997,11921,2262,2248,2393,0,0,0,2,2,2,,,,0.06,2035,83,2046,82,129,,,1230,1383,813,80,20
"""51001090700""","""""",5.00,5420.00,2192.00,38705.54,58,71,44,29,36,21,29,35,23,7.29,0.51,1.91,2,2,20732,20606,21628,0,0,0,13367,12940,14925,10841,10430,12292,2525,2510,2633,0,0,0,1,1,2,,,,0.06,2008,84,1944,82,148,,,1119,1340,760,69,31
